epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.96,3.63003,4.22978,3.87583,0.00796,0.12984,0.00447,0.00113,3.68628,inf,3.90988,0.000415305,0.000415305,0.000415305
2,541.755,2.81311,3.01994,2.80014,0.14536,0.14802,0.06907,0.0222,2.96657,3.69775,2.89365,0.000807136,0.000807136,0.000807136
3,780.93,2.29524,2.37191,2.25951,0.29868,0.19453,0.16902,0.06821,2.72255,3.43226,2.73259,0.00101593,0.00101593,0.00101593
1,219.965,3.63003,4.22978,3.87583,0.00796,0.12984,0.00447,0.00113,3.68628,inf,3.90988,0.000415305,0.000415305,0.000415305
2,549.896,2.81311,3.01994,2.80014,0.14536,0.14802,0.06907,0.0222,2.96657,3.69775,2.89365,0.000807136,0.000807136,0.000807136
3,750.127,2.29524,2.37191,2.25951,0.29868,0.19453,0.16902,0.06821,2.72255,3.43226,2.73259,0.00101593,0.00101593,0.00101593
4,1044.31,2.06901,2.07559,2.025,0.32478,0.23991,0.18582,0.07795,2.59628,3.36054,2.56652,0.000868035,0.000868035,0.000868035
5,1254.34,1.97189,1.85995,1.87495,0.3406,0.29053,0.20741,0.09054,2.60127,3.38937,2.58345,0.000493565,0.000493565,0.000493565
6,1440.92,1.88767,1.75008,1.81827,0.35146,0.31503,0.2465,0.11148,2.51586,3.25156,2.52714,0.000394465,0.000394465,0.000394465
7,1630.38,1.82006,1.63239,1.75029,0.37594,0.32964,0.26865,0.12512,2.52671,3.26892,2.53881,0.000193728,0.000193728,0.000193728
8,1864.81,1.79055,1.59924,1.73802,0.40397,0.32003,0.27155,0.12714,2.55657,3.27869,2.58366,5.95995e-05,5.95995e-05,5.95995e-05
