epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,968.712,3.66868,4.41865,3.86333,0.19686,0.12758,0.10329,0.03657,2.65177,3.0316,2.85135,0.00333224,0.00333224,0.00333224
2,2047.35,2.3712,2.44671,2.27779,0.53287,0.47394,0.48619,0.23553,1.92872,1.66351,1.9406,0.00665754,0.00665754,0.00665754
3,2935.36,1.95428,1.73408,1.83477,0.65001,0.6364,0.64907,0.35319,1.64986,1.33072,1.67449,0.00994617,0.00994617,0.00994617
4,3892.04,1.75178,1.38263,1.64426,0.76059,0.70002,0.7724,0.46656,1.48782,1.08325,1.52269,0.00989183,0.00989183,0.00989183
5,4767.87,1.61888,1.17235,1.53848,0.78423,0.74372,0.80986,0.51119,1.38811,0.97986,1.43939,0.00980825,0.00980825,0.00980825
6,5566.38,1.54301,1.0579,1.47592,0.81381,0.77136,0.84593,0.54818,1.32193,0.87445,1.38813,0.00971419,0.00971419,0.00971419
7,6390.95,1.48942,0.98305,1.43229,0.81676,0.80839,0.8649,0.56928,1.29377,0.82852,1.36176,0.00960722,0.00960722,0.00960722
8,7191.58,1.45476,0.93279,1.40618,0.83608,0.81354,0.87895,0.58346,1.28003,0.79675,1.33901,0.00948952,0.00948952,0.00948952
9,8396.96,1.42665,0.90063,1.3803,0.84362,0.82122,0.88343,0.5967,1.23901,0.75601,1.31546,0.00936303,0.00936303,0.00936303
10,9210.83,1.39899,0.86541,1.36354,0.84656,0.83502,0.89402,0.61001,1.22304,0.72637,1.29823,0.00913099,0.00913099,0.00913099
11,10133.8,1.37503,0.84034,1.35495,0.8545,0.83711,0.89904,0.61847,1.21328,0.71802,1.28942,0.00893476,0.00893476,0.00893476
12,10964.1,1.36304,0.82149,1.34052,0.85219,0.84167,0.90046,0.62046,1.19683,0.70595,1.27828,0.00872118,0.00872118,0.00872118
13,11890.8,1.34105,0.80177,1.32496,0.84243,0.85305,0.90544,0.62773,1.18839,0.68837,1.26719,0.00855018,0.00855018,0.00855018
14,12750.8,1.33356,0.79325,1.31876,0.86545,0.84259,0.90686,0.63601,1.16876,0.6759,1.25266,0.00831376,0.00831376,0.00831376
15,13644.6,1.32102,0.77787,1.30713,0.86236,0.84193,0.90772,0.63339,1.17392,0.67299,1.2541,0.00806337,0.00806337,0.00806337
16,14531.3,1.31069,0.7657,1.30485,0.86443,0.85296,0.91424,0.64119,1.16186,0.66213,1.24815,0.00780007,0.00780007,0.00780007
17,15461.7,1.30219,0.7554,1.2917,0.86661,0.86191,0.91907,0.64786,1.15246,0.65833,1.24046,0.007525,0.007525,0.007525
18,20494.1,1.28732,0.73959,1.28677,0.87258,0.86606,0.92115,0.65091,1.14084,0.64234,1.2311,0.00723933,0.00723933,0.00723933
19,22216.2,1.27283,0.72086,1.27723,0.87705,0.86499,0.92227,0.65706,1.13441,0.63171,1.22928,0.00545877,0.00545877,0.00545877
20,23133.7,1.25681,0.70919,1.26247,0.87313,0.86522,0.92097,0.65895,1.12722,0.63014,1.2207,0.00483992,0.00483992,0.00483992
21,24068.7,1.25077,0.7012,1.26381,0.88109,0.8683,0.92664,0.66401,1.1204,0.61835,1.2176,0.00464123,0.00464123,0.00464123
22,24985.7,1.24372,0.6944,1.25523,0.88435,0.86201,0.92677,0.66731,1.11256,0.61243,1.21148,0.00423526,0.00423526,0.00423526
23,26123.7,1.23514,0.68576,1.24845,0.88457,0.86373,0.92856,0.66886,1.10656,0.6054,1.20673,0.00405987,0.00405987,0.00405987
24,27031.4,1.23062,0.67985,1.24297,0.87886,0.87806,0.93062,0.67241,1.10333,0.604,1.20512,0.00367282,0.00367282,0.00367282
25,28035.7,1.22746,0.67429,1.23858,0.87509,0.87632,0.92789,0.67008,1.1038,0.60512,1.20509,0.00329471,0.00329471,0.00329471
26,28937.2,1.21861,0.66742,1.23745,0.88198,0.87889,0.93244,0.67464,1.09855,0.59284,1.20127,0.00292797,0.00292797,0.00292797
27,29924.3,1.21499,0.66185,1.23228,0.88529,0.87997,0.93528,0.6793,1.09358,0.59255,1.19775,0.002575,0.002575,0.002575
28,30779.7,1.2083,0.65643,1.22617,0.88965,0.8811,0.93773,0.68402,1.08817,0.58049,1.19236,0.00223808,0.00223808,0.00223808
29,31835.2,1.19896,0.64893,1.22651,0.89672,0.87265,0.93635,0.68292,1.0857,0.58292,1.19165,0.00214046,0.00214046,0.00214046
30,32709.9,1.20141,0.64871,1.2235,0.88717,0.88484,0.93681,0.68187,1.09102,0.58234,1.19288,0.00183523,0.00183523,0.00183523
31,33526.6,1.16538,0.6104,1.22085,0.89237,0.87683,0.9351,0.68009,1.09093,0.58383,1.19311,0.00154982,0.00154982,0.00154982
32,34308.8,1.15638,0.60266,1.21381,0.89052,0.88098,0.93654,0.68389,1.08726,0.58103,1.19071,0.00128599,0.00128599,0.00128599
33,35148.4,1.15498,0.5992,1.21356,0.8851,0.88458,0.93885,0.68699,1.08314,0.57627,1.18921,0.00123113,0.00123113,0.00123113
34,36263.6,1.14704,0.5952,1.21266,0.89147,0.8796,0.93941,0.6883,1.08017,0.57159,1.18724,0.00100125,0.00100125,0.00100125
35,37444.7,1.14175,0.58928,1.20739,0.89471,0.87683,0.94,0.68743,1.08285,0.5739,1.18776,0.00079513,0.00079513,0.00079513
36,38294.6,1.13884,0.58526,1.20625,0.89797,0.88093,0.9407,0.68971,1.07843,0.56751,1.18491,0.00061398,0.00061398,0.00061398
37,39049.3,1.13528,0.58234,1.20222,0.8952,0.88539,0.94148,0.69089,1.07753,0.56736,1.1849,0.000458863,0.000458863,0.000458863
38,39873.2,1.13195,0.57884,1.2008,0.89506,0.88402,0.9417,0.69197,1.07637,0.56531,1.18422,0.000330688,0.000330688,0.000330688
39,40749.6,1.12835,0.5797,1.19791,0.89242,0.88342,0.9411,0.69138,1.0749,0.56427,1.18235,0.000319915,0.000319915,0.000319915
40,42489,1.1278,0.57598,1.19738,0.89944,0.87587,0.94091,0.69072,1.07627,0.56616,1.1838,0.000224107,0.000224107,0.000224107
41,43236.6,1.12504,0.57697,1.19469,0.89819,0.87829,0.94134,0.69283,1.07336,0.56392,1.18217,0.000114524,0.000114524,0.000114524
