epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1233.39,1.61829,1.08632,1.40942,0.82811,0.75596,0.84466,0.5478,0.71144,0.67031,0.6351,0.00333108,0.00333108,0.00333108
2,2405.98,1.63082,1.09261,1.41473,0.82204,0.77061,0.85166,0.55043,0.71396,1.10463,0.63679,0.0066362,0.0066362,0.0066362
3,3559.88,1.66532,1.14671,1.43531,0.79843,0.71283,0.79791,0.50342,0.7308,0.7714,0.65026,0.00982912,0.00982912,0.00982912
4,4708.27,1.6915,1.18532,1.44859,0.82262,0.75141,0.83694,0.53423,0.71546,1.05845,0.63844,0.00965239,0.00965239,0.00965239
5,5873.89,1.67439,1.15704,1.43947,0.83186,0.74894,0.83681,0.53709,0.71616,0.84409,0.63826,0.00938772,0.00938772,0.00938772
6,7016.85,1.65169,1.1337,1.41846,0.83522,0.79025,0.86782,0.56473,0.6998,1.07399,0.62685,0.00905463,0.00905463,0.00905463
7,8153.37,1.63872,1.11249,1.40957,0.82444,0.77987,0.85757,0.55493,0.6949,1.11518,0.62491,0.00865839,0.00865839,0.00865839
8,9315.1,1.61449,1.09129,1.40466,0.81824,0.75818,0.83576,0.54564,0.68986,0.78306,0.6247,0.00820525,0.00820525,0.00820525
9,10465.1,1.6034,1.06996,1.39026,0.82882,0.77108,0.85346,0.56432,0.68042,0.71314,0.61826,0.00770234,0.00770234,0.00770234
10,11592.9,1.58782,1.04585,1.37099,0.84845,0.78839,0.87384,0.57781,0.68108,0.72806,0.61469,0.00715761,0.00715761,0.00715761
11,12722.8,1.57005,1.02309,1.36109,0.85764,0.77485,0.86963,0.58508,0.67187,0.61253,0.60913,0.00657963,0.00657963,0.00657963
12,13846.5,1.56405,1.00884,1.35325,0.83955,0.79164,0.87249,0.58613,0.66499,0.63504,0.60704,0.00597754,0.00597754,0.00597754
13,14979.5,1.54091,0.99189,1.34209,0.85185,0.80753,0.88751,0.59663,0.66439,0.70861,0.60382,0.00536081,0.00536081,0.00536081
14,16106.2,1.52796,0.97524,1.33259,0.86282,0.80028,0.88522,0.59787,0.65994,0.55296,0.60329,0.00473919,0.00473919,0.00473919
15,17228.7,1.51489,0.96328,1.33007,0.86091,0.80782,0.89055,0.60619,0.65504,0.71675,0.59867,0.00445334,0.00445334,0.00445334
16,18337.2,1.49547,0.94343,1.31441,0.85164,0.81125,0.88431,0.60042,0.65101,0.65634,0.59696,0.00386539,0.00386539,0.00386539
17,19499.5,1.44303,0.86184,1.28492,0.85712,0.81708,0.89263,0.60857,0.64682,0.43805,0.59535,0.00329471,0.00329471,0.00329471
18,20588.9,1.41844,0.84094,1.26934,0.8695,0.83367,0.90464,0.61988,0.64514,0.45383,0.59375,0.00274962,0.00274962,0.00274962
19,21664.8,1.40701,0.83124,1.2583,0.86433,0.83008,0.9038,0.62274,0.6439,0.42977,0.59183,0.00223808,0.00223808,0.00223808
20,22770.5,1.3866,0.80899,1.25113,0.86624,0.82411,0.89887,0.619,0.6418,0.43189,0.59053,0.00176754,0.00176754,0.00176754
21,23869.7,1.37162,0.79479,1.24268,0.86367,0.83698,0.90513,0.62665,0.64018,0.41836,0.58968,0.00134487,0.00134487,0.00134487
22,25121.2,1.35919,0.78371,1.23198,0.87117,0.82768,0.90315,0.62423,0.64033,0.44915,0.5894,0.00097623,0.00097623,0.00097623
23,26218.2,1.34823,0.77421,1.2269,0.87438,0.83335,0.9071,0.62647,0.63921,0.4225,0.58823,0.000666993,0.000666993,0.000666993
24,27313.7,1.3376,0.76722,1.22077,0.87921,0.82636,0.90812,0.63023,0.63805,0.4154,0.58738,0.00042167,0.00042167,0.00042167
25,28542.4,1.3247,0.75664,1.22304,0.87266,0.83212,0.90703,0.62809,0.63933,0.41509,0.58826,0.000243838,0.000243838,0.000243838
26,28829.2,1.33375,0.76014,1.21424,0.87409,0.83099,0.90691,0.62767,0.63889,0.4173,0.58786,0.000136091,0.000136091,0.000136091
