epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.123,1.41937,1.01374,1.06981,0.82405,0.79748,0.86423,0.56742,1.20435,0.74317,0.98829,0.000415941,0.000415941,0.000415941
2,725.055,1.29227,0.75057,1.01958,0.83933,0.82336,0.88038,0.58967,1.17578,0.68952,0.97868,0.000812436,0.000812436,0.000812436
3,1037.45,1.25741,0.71118,1.01153,0.84833,0.8247,0.89427,0.60703,1.16565,0.68396,0.97609,0.00113117,0.00113117,0.00113117
4,1318.35,1.21983,0.67186,0.99576,0.8715,0.84898,0.91247,0.64008,1.07745,0.61689,0.9486,0.000994942,0.000994942,0.000994942
5,1637.64,1.17483,0.62836,0.97968,0.88783,0.85723,0.92583,0.66101,1.05781,0.58311,0.94071,0.000822454,0.000822454,0.000822454
6,1939.87,1.13729,0.59507,0.96502,0.88249,0.86888,0.92468,0.6634,1.0478,0.57602,0.93601,0.00063125,0.00063125,0.00063125
7,2242.18,1.10745,0.56472,0.95577,0.89737,0.88331,0.94079,0.69335,1.00515,0.53203,0.92402,0.000440046,0.000440046,0.000440046
8,2566.86,1.07909,0.53862,0.94697,0.90359,0.89456,0.946,0.70332,0.98677,0.51137,0.91696,0.000267558,0.000267558,0.000267558
9,2863.14,1.05164,0.51749,0.94027,0.90651,0.89921,0.95028,0.7136,0.96216,0.49055,0.91219,0.000130671,0.000130671,0.000130671
10,3168.12,1.03683,0.50575,0.93421,0.90732,0.90221,0.95183,0.71811,0.95164,0.48212,0.90905,4.27838e-05,4.27838e-05,4.27838e-05
