epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.944,1.43063,1.3684,1.1906,0.53097,0.42667,0.40654,0.20738,2.0445,2.35671,1.49365,0.000416213,0.000416213,0.000416213
2,800.822,1.45334,1.1745,1.23334,0.50483,0.38843,0.34981,0.17367,2.07602,2.4413,1.50678,0.000754142,0.000754142,0.000754142
3,1198.37,1.41506,1.0786,1.193,0.5375,0.41631,0.37852,0.19693,2.1101,3.34664,1.56198,0.000822156,0.000822156,0.000822156
4,1589.92,1.33803,0.97198,1.15892,0.63264,0.45856,0.49535,0.27811,2.03158,2.74346,1.50897,0.000440046,0.000440046,0.000440046
5,1933.42,1.25984,0.86146,1.10658,0.6694,0.44899,0.48955,0.2747,2.05438,2.63232,1.53491,0.000130671,0.000130671,0.000130671
1,252.944,1.43063,1.3684,1.1906,0.53097,0.42667,0.40654,0.20738,2.0445,2.35671,1.49365,0.000416213,0.000416213,0.000416213
2,499.455,1.49188,1.20757,1.25796,0.49689,0.43435,0.3598,0.17551,2.09003,3.83701,1.53754,0.000832809,0.000832809,0.000832809
3,746.13,1.48217,1.16402,1.23308,0.44004,0.38803,0.32371,0.15563,2.25913,3.21758,1.65878,0.00124914,0.00124914,0.00124914
4,991.077,1.44883,1.16026,1.2195,0.50598,0.4666,0.45783,0.23119,2.23381,2.4529,1.62711,0.00124909,0.00124909,0.00124909
5,1237.24,1.40069,1.03919,1.19058,0.60679,0.44777,0.46604,0.23809,2.07209,2.35709,1.52891,0.00124841,0.00124841,0.00124841
6,1485.58,1.40663,1.01592,1.20284,0.52662,0.3677,0.37243,0.19209,2.25502,3.83254,1.67619,0.00124751,0.00124751,0.00124751
7,1733.64,1.36926,1.01185,1.1848,0.64088,0.39305,0.42852,0.22418,2.08142,3.15176,1.56395,0.00124641,0.00124641,0.00124641
8,1981.31,1.3541,0.96125,1.16051,0.53741,0.43095,0.43909,0.227,2.10375,2.96575,1.55294,0.00124512,0.00124512,0.00124512
9,2228.22,1.33672,0.95024,1.15885,0.61957,0.44966,0.48651,0.26008,2.07662,2.52496,1.53741,0.00124363,0.00124363,0.00124363
10,2475.89,1.31606,0.90988,1.15165,0.61645,0.44113,0.46212,0.23571,2.06108,2.60322,1.51926,0.00124194,0.00124194,0.00124194
11,2722.71,1.33541,0.89936,1.15197,0.71101,0.38292,0.44752,0.23058,2.3264,3.23921,1.71477,0.00124006,0.00124006,0.00124006
12,2969.49,1.2968,0.88022,1.1375,0.67248,0.41968,0.45551,0.24362,2.17969,3.28062,1.61425,0.00123798,0.00123798,0.00123798
13,3212.24,1.28499,0.86486,1.1251,0.64751,0.42696,0.4535,0.24555,2.07706,3.05983,1.54864,0.0012357,0.0012357,0.0012357
14,3457.79,1.29639,0.86308,1.14613,0.66259,0.4465,0.48785,0.26171,2.09999,2.83954,1.52951,0.00123323,0.00123323,0.00123323
15,3706.57,1.27485,0.86045,1.12383,0.60358,0.42049,0.43116,0.23674,2.16702,2.9736,1.62606,0.00123056,0.00123056,0.00123056
16,3954.4,1.25813,0.8483,1.12199,0.65668,0.40804,0.4411,0.24256,2.19457,3.31644,1.58904,0.0012277,0.0012277,0.0012277
17,4201.92,1.25536,0.8334,1.11094,0.62392,0.43389,0.48206,0.26696,2.04823,2.96638,1.50438,0.00122465,0.00122465,0.00122465
18,4449.86,1.25146,0.82244,1.11016,0.63767,0.43662,0.4508,0.24292,2.17053,3.12676,1.59978,0.00122141,0.00122141,0.00122141
1,1942.08,1.35654,1.09708,1.0631,0.8377,0.81125,0.87915,0.60906,1.14174,0.69386,0.97674,0.00333297,0.00333297,0.00333297
2,3804.64,1.30197,0.86394,1.03431,0.81563,0.76904,0.84879,0.57426,1.18405,0.73501,1.01353,0.0066213,0.0066213,0.0066213
3,5654.41,1.37257,0.9241,1.06683,0.80623,0.74701,0.8158,0.54439,1.22318,0.82135,1.01325,0.00973144,0.00973144,0.00973144
4,7508.99,1.39071,0.93967,1.08115,0.80228,0.7679,0.83083,0.54991,1.19739,0.7745,1.01953,0.00946048,0.00946048,0.00946048
5,9359.99,1.34387,0.86702,1.0697,0.8273,0.76569,0.84613,0.57513,1.18128,0.7426,1.01499,0.00905463,0.00905463,0.00905463
6,11215.3,1.30477,0.8066,1.05417,0.80134,0.76193,0.83093,0.56375,1.18124,0.7366,1.00843,0.00855018,0.00855018,0.00855018
