epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1755.4,1.69444,1.40094,1.15843,0.78934,0.79002,0.84762,0.54121,0.64097,0.75178,0.48702,0.00333237,0.00333237,0.00333237
2,3447.5,1.65331,1.11904,1.12754,0.79204,0.76358,0.81777,0.50214,0.69057,2.95732,0.50106,0.00660952,0.00660952,0.00660952
3,5104.58,1.7789,1.26642,1.1742,0.80432,0.71385,0.80274,0.48591,0.71365,0.89854,0.51648,0.00966481,0.00966481,0.00966481
4,6791.23,1.80119,1.28811,1.19706,0.8045,0.74671,0.82386,0.51189,0.69865,1.47541,0.51013,0.00925857,0.00925857,0.00925857
5,8417.73,1.69778,1.14498,1.14557,0.84221,0.78323,0.85782,0.55107,0.66502,0.9863,0.50098,0.00870809,0.00870809,0.00870809
6,10062.2,1.62438,1.04777,1.12402,0.84002,0.78629,0.85822,0.56759,0.62525,0.45823,0.48857,0.0082318,0.0082318,0.0082318
7,11721.8,1.56439,0.97743,1.10044,0.85101,0.80813,0.87686,0.58212,0.61334,0.46939,0.48469,0.007525,0.007525,0.007525
8,13396.2,1.51441,0.92536,1.08292,0.85712,0.83221,0.89642,0.60023,0.59442,0.47733,0.48233,0.006743,0.006743,0.006743
9,15083.5,1.44977,0.86685,1.03898,0.8583,0.82887,0.89602,0.603,0.60418,0.42156,0.48374,0.00590956,0.00590956,0.00590956
10,16748.3,1.40184,0.81011,1.02091,0.85842,0.83274,0.89807,0.61001,0.59835,0.36588,0.47943,0.00505,0.00505,0.00505
11,18440,1.36603,0.78048,1.00571,0.85399,0.84678,0.90552,0.62377,0.5782,0.3924,0.47539,0.00419044,0.00419044,0.00419044
12,20111.2,1.32976,0.74128,0.9908,0.86843,0.84702,0.9114,0.63607,0.56371,0.3388,0.47195,0.003357,0.003357,0.003357
13,21768.1,1.28132,0.69871,0.97297,0.87688,0.85798,0.91839,0.64538,0.56084,0.32603,0.47082,0.002575,0.002575,0.002575
14,23441.3,1.2409,0.6662,0.96353,0.88203,0.85358,0.91925,0.65213,0.54684,0.30733,0.46684,0.0018682,0.0018682,0.0018682
15,25098.4,1.21464,0.64168,0.95271,0.8703,0.8701,0.92288,0.65365,0.54515,0.3017,0.46665,0.00125808,0.00125808,0.00125808
16,26755.9,1.18779,0.61723,0.94196,0.87447,0.87545,0.92511,0.66408,0.53611,0.29047,0.46368,0.000763174,0.000763174,0.000763174
17,28406.6,1.16974,0.60559,0.93839,0.88525,0.8731,0.92801,0.66715,0.53368,0.28707,0.46299,0.000398522,0.000398522,0.000398522
18,28834.1,1.15101,0.59001,0.93316,0.88177,0.8734,0.92766,0.66624,0.53472,0.28954,0.46361,0.000175202,0.000175202,0.000175202
