epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5253.76,3.91537,4.73515,4.02861,0.06636,0.04066,0.02145,0.00571,3.13535,3.56158,3.40906,0.00333224,0.00333224,0.00333224
2,8481.18,2.5797,2.82025,2.54374,0.45644,0.43029,0.41327,0.19426,1.97018,1.89792,1.98592,0.0064666,0.0064666,0.0064666
3,11700.9,2.00146,1.82625,1.88298,0.64449,0.6007,0.64445,0.34591,1.69616,1.42919,1.71977,0.0092132,0.0092132,0.0092132
4,14685.3,1.76028,1.3881,1.66522,0.74336,0.70608,0.77025,0.45899,1.48975,1.08368,1.53421,0.00855018,0.00855018,0.00855018
5,18200.6,1.61867,1.16427,1.55055,0.78852,0.76673,0.82474,0.51988,1.37656,0.9267,1.4403,0.007525,0.007525,0.007525
6,21897,1.53494,1.04312,1.48316,0.79573,0.77254,0.83429,0.53716,1.32634,0.86325,1.40148,0.00633115,0.00633115,0.00633115
7,25855.9,1.47302,0.95958,1.43385,0.8262,0.8097,0.86827,0.57415,1.28144,0.8085,1.36277,0.00505,0.00505,0.00505
8,28994,1.43285,0.90595,1.40645,0.82291,0.8158,0.87473,0.58579,1.26836,0.77883,1.34707,0.00376885,0.00376885,0.00376885
9,31808.8,1.4042,0.86908,1.38074,0.84361,0.82122,0.88509,0.59909,1.23296,0.75241,1.32203,0.002575,0.002575,0.002575
10,36265.2,1.38222,0.84072,1.3696,0.84329,0.83444,0.89243,0.61117,1.22163,0.72695,1.31512,0.00223808,0.00223808,0.00223808
11,41382.2,1.35144,0.81286,1.35907,0.85284,0.83135,0.89545,0.61782,1.20446,0.71587,1.30349,0.000763174,0.000763174,0.000763174
12,43339.3,1.33975,0.79722,1.3483,0.85079,0.83547,0.89689,0.61956,1.20372,0.7067,1.30075,0.000268667,0.000268667,0.000268667
