epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.709,1.35121,0.89275,1.04337,0.84459,0.80923,0.87702,0.58821,1.13641,1.07676,0.9512,0.000416305,0.000416305,0.000416305
2,1052.82,1.2362,0.69161,0.99004,0.85862,0.84382,0.90844,0.63158,1.09287,1.11677,0.93337,0.000812792,0.000812792,0.000812792
3,2448.58,1.2006,0.65357,0.97693,0.87131,0.84276,0.91515,0.64253,1.06485,1.02583,0.92963,0.0011315,0.0011315,0.0011315
4,3076.18,1.16131,0.61744,0.96454,0.88498,0.86149,0.92741,0.67403,1.02272,0.9052,0.91513,0.000994942,0.000994942,0.000994942
1,498.586,1.35121,0.89275,1.04337,0.84459,0.80923,0.87702,0.58821,1.13641,1.07676,0.9512,0.000416305,0.000416305,0.000416305
2,944.096,1.2362,0.69161,0.99004,0.85862,0.84382,0.90844,0.63158,1.09287,1.11677,0.93337,0.000812792,0.000812792,0.000812792
3,2076.21,1.2006,0.65357,0.97693,0.87131,0.84276,0.91515,0.64253,1.06485,1.02583,0.92963,0.0011315,0.0011315,0.0011315
4,2888.5,1.16131,0.61744,0.96454,0.88498,0.86149,0.92741,0.67403,1.02272,0.9052,0.91513,0.000994942,0.000994942,0.000994942
5,3906.99,1.12206,0.58147,0.9519,0.89774,0.88234,0.94341,0.69761,0.98453,0.85705,0.90529,0.000822454,0.000822454,0.000822454
6,4413.68,1.08985,0.55186,0.94148,0.90546,0.88687,0.94736,0.70929,0.97048,0.89282,0.89992,0.00063125,0.00063125,0.00063125
7,4856.06,1.05959,0.52534,0.93269,0.9152,0.89586,0.95374,0.71876,0.94196,0.84436,0.8914,0.000440046,0.000440046,0.000440046
8,5987.91,1.03191,0.50224,0.92311,0.91337,0.90973,0.95913,0.73161,0.92383,0.80732,0.88544,0.000267558,0.000267558,0.000267558
9,7081.95,1.00783,0.48102,0.9176,0.91858,0.90998,0.96156,0.73761,0.90693,0.68053,0.88122,0.000130671,0.000130671,0.000130671
10,7530.21,0.98855,0.46749,0.91262,0.9178,0.91397,0.96264,0.74248,0.89752,0.67803,0.87921,4.27838e-05,4.27838e-05,4.27838e-05
1,547.864,2.82811,2.72819,2.51278,0.57916,0.4843,0.51536,0.23488,2.01434,1.49771,1.55485,0.000415941,0.000415941,0.000415941
2,1090.13,1.80884,1.24265,1.38733,0.73023,0.65112,0.73044,0.40457,1.59759,1.07809,1.26903,0.000812436,0.000812436,0.000812436
3,1385.52,1.5704,0.98758,1.23333,0.79664,0.71446,0.80029,0.4681,1.45421,0.8931,1.17262,0.00113117,0.00113117,0.00113117
4,1981.48,1.45745,0.87339,1.16512,0.79233,0.77333,0.83244,0.51765,1.32848,0.8134,1.10779,0.000994942,0.000994942,0.000994942
5,2309.42,1.37304,0.79213,1.12197,0.84024,0.8,0.86773,0.55535,1.28389,0.74717,1.07743,0.000822454,0.000822454,0.000822454
6,2635.42,1.31744,0.74184,1.09457,0.84958,0.81036,0.8828,0.58153,1.22035,0.70676,1.05096,0.00063125,0.00063125,0.00063125
7,2979.07,1.26599,0.69644,1.07171,0.86531,0.83528,0.90085,0.60727,1.18758,0.66135,1.03628,0.000440046,0.000440046,0.000440046
8,3357.36,1.23229,0.66468,1.05746,0.86858,0.84301,0.90491,0.61852,1.156,0.63927,1.02121,0.000267558,0.000267558,0.000267558
9,3674.12,1.20154,0.64252,1.04871,0.8798,0.8431,0.91319,0.63267,1.11855,0.61715,1.00972,0.000130671,0.000130671,0.000130671
10,3976.72,1.18491,0.62828,1.03881,0.88251,0.84649,0.91602,0.63721,1.11458,0.61043,1.0073,4.27838e-05,4.27838e-05,4.27838e-05
