epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3731.72,1.45373,0.96574,1.39588,0.81703,0.78522,0.85274,0.56156,1.29132,0.82464,1.3153,0.00333224,0.00333224,0.00333224
2,5210.07,1.47909,0.9919,1.40344,0.8271,0.79756,0.86708,0.57529,1.29238,0.82567,1.31714,0.00650409,0.00650409,0.00650409
3,6195.72,1.49321,1.02551,1.42026,0.81241,0.79081,0.85474,0.56048,1.30118,0.82632,1.31403,0.00950876,0.00950876,0.00950876
4,6973.4,1.49705,1.03809,1.42126,0.82146,0.8037,0.86119,0.57029,1.28695,0.8097,1.30579,0.00933683,0.00933683,0.00933683
5,7898.2,1.4786,1.00316,1.40955,0.82692,0.78947,0.85984,0.56534,1.28866,0.80928,1.30409,0.00913988,0.00913988,0.00913988
6,8700.04,1.45725,0.97756,1.3854,0.8282,0.81158,0.87611,0.59003,1.25249,0.78642,1.27352,0.00888977,0.00888977,0.00888977
7,9449.86,1.44649,0.95361,1.37182,0.83015,0.79861,0.87345,0.59094,1.24175,0.77067,1.26588,0.00865839,0.00865839,0.00865839
8,13322.2,1.43352,0.93919,1.36995,0.85757,0.82598,0.89464,0.6054,1.24671,0.75169,1.26372,0.0084469,0.0084469,0.0084469
9,14373.6,1.41296,0.90892,1.35025,0.86033,0.83073,0.89983,0.61134,1.22224,0.73921,1.25131,0.0071063,0.0071063,0.0071063
10,15204.7,1.39407,0.88674,1.33668,0.861,0.83209,0.89643,0.61689,1.19852,0.72118,1.23599,0.00670765,0.00670765,0.00670765
11,18901.8,1.37955,0.87123,1.32297,0.86652,0.84245,0.90442,0.62778,1.18908,0.6942,1.22867,0.00633115,0.00633115,0.00633115
12,19641.4,1.2808,0.76296,1.26585,0.86727,0.8464,0.91,0.63692,1.16846,0.67948,1.20935,0.00468009,0.00468009,0.00468009
13,20394,1.27407,0.74947,1.26266,0.84815,0.83533,0.89582,0.62659,1.16912,0.69138,1.21005,0.00434554,0.00434554,0.00434554
14,21096.5,1.26797,0.74255,1.25367,0.87268,0.84612,0.9083,0.63743,1.15929,0.66971,1.20733,0.00404289,0.00404289,0.00404289
15,21826.6,1.26099,0.73297,1.24829,0.87462,0.8604,0.91996,0.6508,1.15005,0.65568,1.19561,0.00376885,0.00376885,0.00376885
16,22779.4,1.24299,0.71933,1.23342,0.8718,0.85418,0.91606,0.64896,1.1528,0.65455,1.20392,0.00352037,0.00352037,0.00352037
17,23664.3,1.242,0.71225,1.24263,0.87131,0.85012,0.91603,0.64718,1.14354,0.64834,1.19189,0.00329471,0.00329471,0.00329471
18,25358.1,1.23193,0.69854,1.2308,0.87753,0.86802,0.92558,0.66172,1.12982,0.62662,1.18127,0.00274962,0.00274962,0.00274962
19,26052.5,1.22435,0.68927,1.21982,0.87413,0.86599,0.92308,0.66011,1.13028,0.63343,1.18172,0.00223808,0.00223808,0.00223808
20,26835.2,1.21851,0.68215,1.22674,0.87968,0.86904,0.92609,0.6661,1.12291,0.62156,1.18023,0.00209406,0.00209406,0.00209406
21,27668.6,1.209,0.6712,1.21261,0.88053,0.87375,0.92858,0.66937,1.11443,0.61566,1.174,0.0016531,0.0016531,0.0016531
22,28429.8,1.20007,0.66686,1.21028,0.88029,0.87208,0.92739,0.66833,1.11158,0.61405,1.17231,0.00154982,0.00154982,0.00154982
23,29111.7,1.19281,0.66017,1.20345,0.88748,0.86856,0.9294,0.67166,1.11079,0.60724,1.17186,0.00117993,0.00117993,0.00117993
24,29855.6,1.18779,0.65489,1.20632,0.87959,0.8797,0.93154,0.6756,1.10354,0.59933,1.16709,0.00110934,0.00110934,0.00110934
25,30569,1.18596,0.64646,1.20279,0.88591,0.87703,0.93431,0.67862,1.10155,0.59575,1.16533,0.000808557,0.000808557,0.000808557
26,31272.3,1.1824,0.64459,1.1994,0.89212,0.87383,0.93564,0.67926,1.10002,0.59077,1.16424,0.000763174,0.000763174,0.000763174
27,31990.2,1.17866,0.64029,1.19678,0.88528,0.88086,0.93487,0.68006,1.09757,0.59234,1.16199,0.00052795,0.00052795,0.00052795
28,32670.5,1.17078,0.63312,1.18917,0.89081,0.87478,0.93541,0.68085,1.09622,0.59077,1.1601,0.000501159,0.000501159,0.000501159
29,33391.3,1.17131,0.63487,1.191,0.89,0.88185,0.93777,0.68302,1.09474,0.58597,1.16041,0.000327011,0.000327011,0.000327011
30,34198.8,1.17188,0.63418,1.18833,0.89116,0.88232,0.93755,0.6847,1.0892,0.58492,1.15828,0.000313145,0.000313145,0.000313145
31,34905.6,1.16405,0.63051,1.18751,0.88857,0.88163,0.93568,0.68175,1.09335,0.5868,1.16018,0.000195113,0.000195113,0.000195113
32,35703.5,1.1637,0.62821,1.18686,0.88924,0.88045,0.93599,0.68237,1.09306,0.58758,1.16026,0.000123836,0.000123836,0.000123836
