epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.681,3.85133,4.91373,4.31943,0.00218,0.00327,0.0005,0.00019,3.9725,5.54868,4.42693,0.0820588,0.00199346,0.00199346
2,310.133,3.77109,4.5685,4.15165,0.00579,0.0071,0.00115,0.0003,3.91937,4.7408,4.05049,0.064048,0.00398264,0.00398264
3,462.509,3.47292,3.95935,3.88524,0.03462,0.04395,0.00815,0.0021,3.61835,4.23575,3.74105,0.045994,0.00592863,0.00592863
4,612.733,3.09109,3.40774,3.40142,0.14979,0.08989,0.05037,0.01533,3.26237,3.78763,3.37965,0.0278652,0.00779981,0.00779981
5,774.945,2.64006,2.9196,2.82111,0.1884,0.20863,0.10383,0.03656,2.81476,4.02073,2.9052,0.00963115,0.00956579,0.00956579
1,805.524,3.96428,4.38596,3.59449,0.07134,0.05588,0.03121,0.00902,3.27941,3.3792,3.19143,0.0820059,0.00199935,0.00199935
2,2125.71,2.74956,2.82707,2.513,0.46548,0.43172,0.40947,0.18356,2.0936,1.91666,2.04428,0.0640058,0.00399924,0.00399924
3,3099.34,2.11034,1.8911,1.90917,0.61683,0.58768,0.61223,0.31854,1.76274,1.41282,1.72715,0.0460052,0.0059987,0.0059987
4,4004.44,1.87907,1.54065,1.70138,0.67733,0.65938,0.69573,0.39819,1.59851,1.23442,1.56764,0.0280039,0.00799739,0.00799739
5,5003.77,1.72831,1.33698,1.5789,0.75875,0.72053,0.77592,0.47184,1.45502,1.06555,1.44983,0.0100015,0.00999501,0.00999501
6,5911.26,1.63,1.19072,1.48774,0.78689,0.7552,0.81597,0.51737,1.37625,0.96014,1.38508,0.00999322,0.00999322,0.00999322
7,6855.57,1.54913,1.07289,1.42305,0.80222,0.7959,0.85022,0.55466,1.3138,0.87354,1.32692,0.00999023,0.00999023,0.00999023
8,7692.78,1.49361,0.99956,1.39264,0.83606,0.79632,0.8674,0.57269,1.28414,0.83826,1.30867,0.00998671,0.00998671,0.00998671
9,8594.1,1.45676,0.94894,1.36016,0.8345,0.81833,0.87308,0.5836,1.24885,0.79555,1.2803,0.00998264,0.00998264,0.00998264
10,9476.34,1.43059,0.91162,1.34163,0.8427,0.82676,0.88315,0.59773,1.23272,0.75359,1.25895,0.00997803,0.00997803,0.00997803
11,10295,1.40307,0.88181,1.31873,0.86712,0.82409,0.89234,0.61,1.21373,0.73921,1.24505,0.00997288,0.00997288,0.00997288
12,11195.9,1.38524,0.85597,1.31105,0.85568,0.82744,0.89823,0.61767,1.18932,0.72728,1.2345,0.0099672,0.0099672,0.0099672
13,12123.6,1.36591,0.83517,1.29679,0.86141,0.83728,0.90278,0.62778,1.18219,0.6997,1.22284,0.00996097,0.00996097,0.00996097
14,12940.5,1.35583,0.82395,1.28496,0.86057,0.84464,0.9073,0.63514,1.17227,0.68982,1.21601,0.0099542,0.0099542,0.0099542
15,13851.2,1.34098,0.80786,1.26984,0.8582,0.85105,0.90773,0.63439,1.16363,0.68281,1.20867,0.0099469,0.0099469,0.0099469
16,14743.8,1.33397,0.79734,1.26823,0.86358,0.85402,0.91083,0.63739,1.1532,0.6692,1.19952,0.00993906,0.00993906,0.00993906
