epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.567,4.12713,3.81,3.17237,0.15186,0.1446,0.08921,0.02881,2.94785,3.46992,2.2452,0.0820314,0.00199652,0.00199652
2,1326.39,2.56636,2.11487,1.8077,0.50278,0.39945,0.41803,0.18081,2.14294,1.74054,1.57664,0.064007,0.00397216,0.00397216
3,1861.59,2.03159,1.48162,1.44041,0.63243,0.58985,0.62496,0.32559,1.75834,1.21499,1.33804,0.0458861,0.00585124,0.00585124
4,2351.75,1.79358,1.22973,1.30526,0.71798,0.6528,0.72006,0.38207,1.60701,1.11356,1.26398,0.0275999,0.00756509,0.00756509
5,2893.82,1.63873,1.07646,1.22624,0.79291,0.72598,0.80261,0.46404,1.48136,0.93989,1.17212,0.00908632,0.00905148,0.00905148
6,3215.57,1.52951,0.97008,1.17446,0.80723,0.76666,0.83561,0.51649,1.34421,0.85505,1.11673,0.00855018,0.00855018,0.00855018
7,3709.18,1.44887,0.88959,1.1355,0.82287,0.79495,0.86567,0.55195,1.28373,0.77882,1.08657,0.00795954,0.00795954,0.00795954
8,4034.47,1.39272,0.83615,1.11092,0.84728,0.79542,0.87721,0.56993,1.22206,0.73937,1.06175,0.00729725,0.00729725,0.00729725
9,4557.54,1.35351,0.79547,1.08978,0.84626,0.82525,0.88912,0.58624,1.21636,0.71185,1.05272,0.00657963,0.00657963,0.00657963
10,4905.51,1.3206,0.76751,1.07904,0.84963,0.83842,0.89633,0.59947,1.17547,0.68507,1.0368,0.00582435,0.00582435,0.00582435
11,5215.34,1.26378,0.71697,1.07444,0.84984,0.83678,0.89277,0.60119,1.1716,0.67613,1.0368,0.00505,0.00505,0.00505
12,5486.75,1.23863,0.69252,1.06366,0.85826,0.84086,0.90119,0.61011,1.16255,0.66539,1.03152,0.00427565,0.00427565,0.00427565
13,5762.28,1.21856,0.67438,1.05421,0.87485,0.84396,0.90892,0.624,1.13466,0.64076,1.02006,0.00352037,0.00352037,0.00352037
14,6045.3,1.19841,0.65785,1.04488,0.8785,0.84739,0.91296,0.62687,1.12409,0.6345,1.01524,0.00280275,0.00280275,0.00280275
15,6367.56,1.1842,0.64276,1.03731,0.8768,0.85683,0.91911,0.63644,1.11362,0.61869,1.00891,0.00214046,0.00214046,0.00214046
16,6639.02,1.1689,0.62837,1.0354,0.87564,0.86302,0.92085,0.64164,1.10278,0.61057,1.00528,0.00154982,0.00154982,0.00154982
17,6919.6,1.1561,0.61701,1.02729,0.88351,0.86383,0.92415,0.6496,1.08821,0.59692,1.00089,0.00104537,0.00104537,0.00104537
18,7207.16,1.14599,0.61061,1.02227,0.88435,0.86634,0.92467,0.65031,1.08327,0.59411,0.99803,0.000639518,0.000639518,0.000639518
19,7482.6,1.13895,0.60261,1.02154,0.88317,0.86972,0.92589,0.65233,1.08262,0.59133,0.99748,0.00034227,0.00034227,0.00034227
20,7770.07,1.13361,0.60003,1.01797,0.89234,0.86732,0.92867,0.65655,1.07601,0.58304,0.995,0.000160943,0.000160943,0.000160943
