epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.373,3.11307,3.06474,2.61483,0.44759,0.37728,0.38644,0.15927,2.26149,1.80206,1.61048,0.000415941,0.000415941,0.000415941
2,634.556,1.97151,1.42634,1.43207,0.60955,0.53773,0.58022,0.29347,1.81415,1.34882,1.34158,0.000812436,0.000812436,0.000812436
3,915.771,1.69409,1.11628,1.26682,0.72453,0.65758,0.72812,0.40454,1.63807,1.05355,1.2181,0.00113117,0.00113117,0.00113117
4,1191.11,1.56798,0.97452,1.19126,0.75605,0.70278,0.77822,0.45534,1.47974,0.94019,1.14413,0.000994942,0.000994942,0.000994942
5,1468.51,1.46867,0.88395,1.14064,0.80486,0.75462,0.82744,0.50099,1.40276,0.84898,1.10499,0.000822454,0.000822454,0.000822454
6,1765.66,1.41225,0.82852,1.11062,0.83163,0.76884,0.84902,0.5302,1.35487,0.79954,1.08202,0.00063125,0.00063125,0.00063125
7,2041.06,1.36006,0.78017,1.08701,0.84157,0.78146,0.86397,0.55531,1.30013,0.75496,1.05733,0.000440046,0.000440046,0.000440046
8,2339.75,1.32698,0.74833,1.07298,0.84623,0.79499,0.87665,0.56713,1.27286,0.73,1.04665,0.000267558,0.000267558,0.000267558
9,2619.31,1.29906,0.72568,1.06343,0.85646,0.8002,0.88038,0.57646,1.24778,0.7154,1.0367,0.000130671,0.000130671,0.000130671
10,2912.56,1.28338,0.71262,1.05504,0.85675,0.80143,0.88283,0.5805,1.253,0.7052,1.03744,4.27838e-05,4.27838e-05,4.27838e-05
