epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.14,3.64322,4.82484,4.0488,0.00047,0.01725,0.00076,0.00027,4.18162,5.18163,4.37297,0.000413043,0.000413043,0.000413043
2,328.935,3.21046,3.96936,3.28114,0.02469,0.0484,0.007,0.00215,3.17288,4.96816,3.25051,0.000751272,0.000751272,0.000751272
3,456.757,2.9054,3.36036,2.7234,0.02765,0.23795,0.01494,0.00505,3.07015,10.0686,2.92465,0.00082007,0.00082007,0.00082007
4,617.964,2.62607,2.96921,2.44761,0.1432,0.16029,0.05747,0.01956,2.84255,3.80844,2.84241,0.000440046,0.000440046,0.000440046
5,824.177,2.52583,2.83048,2.36996,0.15598,0.17233,0.06494,0.02266,2.81767,3.73333,2.79857,0.000130671,0.000130671,0.000130671
1,355.571,3.59385,4.05318,3.85666,0.00715,0.14949,0.00459,0.00123,3.53187,177.893,3.60056,0.000416213,0.000416213,0.000416213
2,645.916,2.77178,3.03745,2.88549,0.06484,0.26205,0.03851,0.01286,3.0617,93.306,3.10793,0.000754142,0.000754142,0.000754142
3,917.899,2.30429,2.42685,2.33756,0.23429,0.22647,0.1267,0.04988,2.78613,4.15635,2.83355,0.000822156,0.000822156,0.000822156
4,1196.78,2.11453,2.12645,2.13376,0.27248,0.2491,0.1475,0.06281,2.62095,8.5061,2.70985,0.000440046,0.000440046,0.000440046
5,1476.82,2.01972,1.94706,2.0201,0.30741,0.26959,0.18022,0.07827,2.61757,5.87346,2.6636,0.000130671,0.000130671,0.000130671
