epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.996,3.6923,4.70211,4.08979,0.00041,0.01298,0.00024,7e-05,4.1369,5.13369,4.32283,0.00041351,0.00041351,0.00041351
2,202.018,3.273,3.91833,3.29924,0.18058,0.04538,0.00912,0.00302,3.31304,4.60925,3.21014,0.000751695,0.000751695,0.000751695
3,281.621,2.94123,3.27723,2.69945,0.06304,0.10843,0.02397,0.00777,3.01545,4.90834,2.90253,0.000820377,0.000820377,0.000820377
4,368.488,2.62485,2.89896,2.42579,0.16335,0.13586,0.06152,0.02082,2.91034,4.25105,2.81021,0.000440046,0.000440046,0.000440046
5,475.739,2.52242,2.72081,2.27162,0.18174,0.16733,0.07492,0.02618,2.82427,4.53052,2.74286,0.000130671,0.000130671,0.000130671
1,304.06,3.58222,4.05942,3.81863,0.25374,0.01275,0.00408,0.00125,3.88445,47.9318,3.84663,0.000416213,0.000416213,0.000416213
2,590.938,2.64379,2.89475,2.68805,0.17569,0.19346,0.0912,0.03321,2.93357,61.2074,2.94543,0.000754142,0.000754142,0.000754142
3,877.458,2.18347,2.2364,2.14468,0.27479,0.28123,0.17881,0.07339,2.67127,4.34672,2.68013,0.000822156,0.000822156,0.000822156
4,1161.56,1.99491,1.94675,1.96366,0.24496,0.29094,0.16494,0.07005,2.62043,9.19736,2.63275,0.000440046,0.000440046,0.000440046
5,1453.62,1.91957,1.78536,1.86894,0.37705,0.21514,0.20861,0.09264,2.56832,9.57289,2.59509,0.000130671,0.000130671,0.000130671
